(+ (ln x) (ln y))	(ln (* x y))
(- (ln x) (ln y))	(ln (/ x y))
(+ (ln x) (ln x))	(ln (pow x 2))
(ln (exp x))	x
(exp (ln x))	x
(pow e (* 2 (ln x)))	(pow x 2)
(* (pow a x) (pow a y))	(pow a (+ x y))
(/ (pow a x) (pow a y))	(pow a (- x y))
(log b (pow b x))	x
(pow b (log b x))	x
(/ (ln x) (ln b))	(log b x)
(* (log a b) (log b c))	(log a c)
(/ 1 (log a b))	(log b a)
(+ (log b x) (log b y))	(log b (* x y))
(- (log b x) (log b y))	(log b (/ x y))
(log b 1)	0
(log b b)	1
(sqrt (pow x 2))	x
(pow (sqrt x) 2)	x
(* (sqrt x) (sqrt y))	(sqrt (* x y))
(/ (sqrt x) (sqrt y))	(sqrt (/ x y))
(* (exp x) (exp y))	(exp (+ x y))
(/ (exp x) (exp y))	(exp (- x y))
(* (exp x) (exp x))	(exp (* 2 x))
(log (pow b 2) (pow x 2))	(log b x)
(+ (log b x) (log b (/ 1 x)))	0
(ln (* x (exp y)))	(+ (ln x) y)
(ln (/ (exp x) x))	(- x (ln x))
(pow 4 (log 2 x))	(pow x 2)
(/ (log b x) (log b y))	(log y x)
(exp (* 3 (ln x)))	(pow x 3)
(/ (log b x) 2)	(log b (sqrt x))
(+ (ln (sqrt x)) (ln (sqrt x)))	(ln x)
(pow (pow x 2) 0.5)	x
(* (pow x 0.5) (pow x 0.5))	x
(ln (pow e x))	x
(log 10 (pow 10 x))	x
(exp (- (ln x) (ln y)))	(/ x y)
(pow e (+ (ln x) (ln y)))	(* x y)
(* (log b a) (log a b))	1
(/ (ln x) (ln 2))	(log 2 x)
(/ (ln x) (ln 3))	(log 3 x)
(/ (ln x) (ln 4))	(log 4 x)
(/ (ln x) (ln 5))	(log 5 x)
(/ (ln x) (ln 6))	(log 6 x)
(/ (ln x) (ln 7))	(log 7 x)
(/ (ln x) (ln 8))	(log 8 x)
(/ (ln x) (ln 10))	(log 10 x)
(/ (ln (* x y)) (ln 2))	(log 2 (* x y))
(/ (log 10 x) (log 10 2))	(log 2 x)
(/ (log 10 x) (log 10 3))	(log 3 x)
(/ (log 10 x) (log 10 5))	(log 5 x)
(/ (log 10 x) (log 10 7))	(log 7 x)
(/ (log 2 x) (log 2 3))	(log 3 x)
(/ (log 2 x) (log 2 5))	(log 5 x)
(/ (log 2 x) (log 2 7))	(log 7 x)
(/ (log 2 x) (log 2 6))	(log 6 x)
(/ (log 3 x) (log 3 2))	(log 2 x)
(/ (log 3 x) (log 3 5))	(log 5 x)
(/ (log 3 x) (log 3 7))	(log 7 x)
(/ (log 5 x) (log 5 2))	(log 2 x)
(/ (log 5 x) (log 5 3))	(log 3 x)
(/ (log 7 x) (log 7 2))	(log 2 x)
(/ (log a x) (log a 2))	(log 2 x)
(/ (log a x) (log a 3))	(log 3 x)
(/ (log a x) (log a 5))	(log 5 x)
(/ (log a x) (log a 10))	(log 10 x)
(/ 1 (log 2 x))	(log x 2)
(/ 1 (log 3 x))	(log x 3)
(/ 1 (log 5 x))	(log x 5)
(/ 1 (log 7 x))	(log x 7)
(/ 1 (log 10 x))	(log x 10)
(/ 1 (log 4 x))	(log x 4)
(/ 1 (log 6 x))	(log x 6)
(/ 1 (log 8 x))	(log x 8)
(/ 1 (ln x))	(log x e)
(/ 1 (log x 2))	(log 2 x)
(/ 1 (log x 3))	(log 3 x)
(/ 1 (log 10 2))	(log 2 10)
(* (log 2 x) (log x 2))	1
(* (log 3 x) (log x 3))	1
(* (log 4 x) (log x 4))	1
(* (log 5 x) (log x 5))	1
(* (log 6 x) (log x 6))	1
(* (log 10 x) (log x 10))	1
(* (log 2 3) (log 3 2))	1
(* (log 2 x) (log x y))	(log 2 y)
(* (log 3 x) (log x y))	(log 3 y)
(* (log 5 x) (log x y))	(log 5 y)
(* (log x 2) (log 2 y))	(log x y)
(* (log x 3) (log 3 y))	(log x y)
(* (log x 5) (log 5 y))	(log x y)
(* (log x 10) (log 10 y))	(log x y)
(* (log x e) (ln y))	(log x y)
