(* (* (sin t) (cos t)) (+ (tan t) (cot t)))	1
(- (pow (sin t) 4) (pow (cos t) 4))	(- (* 2 (pow (sin t) 2)) 1)
(+ (- (pow (sin t) 4) (pow (cos t) 4)) 1)	(* 2 (pow (sin t) 2))
(- (pow (cos t) 4) (pow (sin t) 4))	(- (* 2 (pow (cos t) 2)) 1)
(* (* (sin a) (cos a)) (- (tan a) (cot a)))	(- (* 2 (pow (sin a) 2)) 1)
(+ (pow (+ (cos A) (sin A)) 2) (pow (- (cos A) (sin A)) 2))	2
(+ (pow (+ 1 (tan t)) 2) (pow (- 1 (tan t)) 2))	(* 2 (pow (sec t) 2))
(+ (/ 1 (+ 1 (cos A))) (/ 1 (- 1 (cos A))))	(* 2 (pow (csc A) 2))
(/ (+ 1 (cos t)) (- 1 (cos t)))	(pow (+ (cot t) (csc t)) 2)
(- (/ 1 (- 1 (sin A))) (/ 1 (+ 1 (sin A))))	(* 2 (* (tan A) (sec A)))
(* (+ (+ 1 (sec A)) (tan A)) (+ (- 1 (csc A)) (cot A)))	2
(+ (/ (cos A) (+ 1 (sin A))) (/ (cos A) (- 1 (sin A))))	(* 2 (sec A))
(+ (/ 1 (- 1 (sin A))) (/ 1 (+ 1 (sin A))))	(* 2 (pow (sec A) 2))
(/ (+ 1 (sin t)) (- 1 (sin t)))	(pow (+ (sec t) (tan t)) 2)
(+ (/ (cos t) (+ 1 (sin t))) (/ (+ 1 (sin t)) (cos t)))	(* 2 (sec t))
(+ (/ (sin A) (+ 1 (cos A))) (/ (+ 1 (cos A)) (sin A)))	(* 2 (csc A))
(* (* (+ 1 (cos t)) (- 1 (cos t))) (+ 1 (pow (cot t) 2)))	1
(* (* (+ 1 (pow (tan A) 2)) (sin A)) (cos A))	(tan A)
(/ (csc A) (+ (tan A) (cot A)))	(cos A)
(+ (+ (pow (tan t) 2) (pow (cot t) 2)) 2)	(* (pow (sec t) 2) (pow (csc t) 2))
(+ (- (pow (csc t) 4) (* 2 (pow (csc t) 2))) (- (* 2 (pow (sec t) 2)) (pow (sec t) 4)))	(- (pow (cot t) 4) (pow (tan t) 4))
(/ (- (sin A) (* 2 (pow (sin A) 3))) (- (* 2 (pow (cos A) 3)) (cos A)))	(tan A)
(+ (/ (cos t) (+ (csc t) 1)) (/ (cos t) (- (csc t) 1)))	(* 2 (tan t))
(+ (/ (cos t) (- 1 (tan t))) (/ (sin t) (- 1 (cot t))))	(+ (sin t) (cos t))
(+ (/ (tan t) (+ (sec t) 1)) (/ (tan t) (- (sec t) 1)))	(* 2 (csc t))
(* (- (+ (sec t) (tan t)) 1) (+ (- (sec t) (tan t)) 1))	(* 2 (tan t))
(/ (+ (tan A) (cot B)) (+ (cot A) (tan B)))	(/ (tan A) (tan B))
(/ (- (+ (tan A) (sec A)) 1) (+ (- (tan A) (sec A)) 1))	(/ (+ 1 (sin A)) (cos A))
(- (/ (+ 1 (sin a)) (- (csc a) (cot a))) (/ (- 1 (sin a)) (+ (csc a) (cot a))))	(* 2 (+ 1 (cot a)))
(+ (/ 1 (- (+ (cos t) (sin t)) 1)) (/ 1 (+ (+ (cos t) (sin t)) 1)))	(+ (sec t) (csc t))
(+ (/ (tan A) (- 1 (cot A))) (/ (cot A) (- 1 (tan A))))	(+ 1 (* (sec A) (csc A)))
(- (pow (- (sec x) 1) 2) (pow (- (tan x) (sin x)) 2))	(pow (- 1 (cos x)) 2)
(/ (* (sin x) (sec x)) (tan x))	1
(* (- 1 (pow (cos x) 2)) (+ 1 (pow (cot x) 2)))	1
(- (/ (cos x) (- 1 (sin x))) (tan x))	(sec x)
(* (tan x) (cos x))	(sin x)
(* (csc x) (tan x))	(sec x)
(* (sec x) (cot x))	(csc x)
(+ (pow (sin x) 2) (pow (cos x) 2))	1
(- (pow (sec x) 2) 1)	(pow (tan x) 2)
(- (pow (csc x) 2) 1)	(pow (cot x) 2)
(* (- 1 (sin x)) (+ 1 (sin x)))	(pow (cos x) 2)
(* (- 1 (cos x)) (+ 1 (cos x)))	(pow (sin x) 2)
(* (- (sec x) 1) (+ (sec x) 1))	(pow (tan x) 2)
(* (- (csc x) 1) (+ (csc x) 1))	(pow (cot x) 2)
(* (sin x) (cot x))	(cos x)
(* (cos x) (csc x))	(cot x)
(* (sin x) (csc x))	1
(* (tan x) (cot x))	1
(* (cos x) (sec x))	1
(/ (tan x) (sin x))	(sec x)
(/ (cot x) (cos x))	(csc x)
(/ (sin x) (tan x))	(cos x)
(/ (cos x) (cot x))	(sin x)
(/ (sec x) (csc x))	(tan x)
(/ (csc x) (sec x))	(cot x)
(* (pow (sin x) 2) (+ 1 (pow (cot x) 2)))	1
(* (pow (cos x) 2) (+ 1 (pow (tan x) 2)))	1
(* (pow (tan x) 2) (+ 1 (pow (cot x) 2)))	(pow (sec x) 2)
(* (pow (cot x) 2) (- (pow (sec x) 2) 1))	1
(- (sec x) (* (sec x) (pow (sin x) 2)))	(cos x)
(- (csc x) (* (csc x) (pow (cos x) 2)))	(sin x)
(* 2 (* (sin x) (cos x)))	(sin (* 2 x))
(- (pow (cos x) 2) (pow (sin x) 2))	(cos (* 2 x))
(- 1 (* 2 (pow (sin x) 2)))	(cos (* 2 x))
(- (* 2 (pow (cos x) 2)) 1)	(cos (* 2 x))
(pow (+ (sin x) (cos x)) 2)	(+ 1 (sin (* 2 x)))
(/ (* 2 (tan x)) (- 1 (pow (tan x) 2)))	(tan (* 2 x))
(/ (sin (* 2 x)) (sin x))	(* 2 (cos x))
(/ (sin (* 2 x)) (cos x))	(* 2 (sin x))
(+ (/ (+ 1 (cos x)) (sin x)) (/ (sin x) (+ 1 (cos x))))	(* 2 (csc x))
(/ (sec x) (tan x))	(csc x)
(+ (/ (sin x) (cos x)) (/ (cos x) (sin x)))	(* (sec x) (csc x))
(- (/ 1 (cos x)) (cos x))	(* (sin x) (tan x))
(- (/ 1 (sin x)) (sin x))	(* (cos x) (cot x))
(* (+ (sec x) (tan x)) (- (sec x) (tan x)))	1
(* (+ (csc x) (cot x)) (- (csc x) (cot x)))	1
(/ 1 (- (sec x) (tan x)))	(+ (sec x) (tan x))
(/ 1 (- (csc x) (cot x)))	(+ (csc x) (cot x))
(/ (sin x) (- 1 (cos x)))	(+ (csc x) (cot x))
(/ (cos x) (+ 1 (sin x)))	(- (sec x) (tan x))
(/ (- 1 (cos x)) (sin x))	(- (csc x) (cot x))
(/ (pow (tan x) 2) (pow (sec x) 2))	(pow (sin x) 2)
(/ (pow (cot x) 2) (pow (csc x) 2))	(pow (cos x) 2)
(- 1 (pow (sin t) 2))	(pow (cos t) 2)
(- 1 (pow (cos t) 2))	(pow (sin t) 2)
(+ 1 (pow (tan t) 2))	(pow (sec t) 2)
(+ 1 (pow (cot t) 2))	(pow (csc t) 2)
(/ (- (csc x) (sin x)) (csc x))	(pow (cos x) 2)
(/ (- (sec x) (cos x)) (sec x))	(pow (sin x) 2)
(* (tan x) (* (cot x) (sec x)))	(sec x)
(/ (- 1 (pow (sin x) 2)) (cos x))	(cos x)
(cos (* -1 x))	(cos x)
(sec (* -1 x))	(sec x)
(/ (- 1 (pow (sin x) 2)) (pow (cos x) 2))	1
(* (csc x) (* (tan x) (cos x)))	1
(/ (+ (tan x) (cot x)) (csc x))	(sec x)
(+ (* (sin a) (cos b)) (* (cos a) (sin b)))	(sin (+ a b))
(- (* (cos a) (cos b)) (* (sin a) (sin b)))	(cos (+ a b))
(+ (* (cos a) (cos b)) (* (sin a) (sin b)))	(cos (- a b))
(- (* (sin a) (cos b)) (* (cos a) (sin b)))	(sin (- a b))
(/ (+ (tan x) (cot x)) (sec x))	(csc x)
(* (+ 1 (cos x)) (- (csc x) (cot x)))	(sin x)
(/ (- 1 (cos (* 2 x))) 2)	(pow (sin x) 2)
(/ (+ 1 (cos (* 2 x))) 2)	(pow (cos x) 2)
(/ (sin (* 2 x)) (* 2 (sin x)))	(cos x)
(/ (cos (* 2 x)) (+ (cos x) (sin x)))	(- (cos x) (sin x))
(/ (pow (sin x) 2) (- 1 (cos x)))	(+ 1 (cos x))
(/ (pow (cos x) 2) (- 1 (sin x)))	(+ 1 (sin x))
(/ (- 1 (pow (cos x) 2)) (sin x))	(sin x)
(* (sec x) (sin x))	(tan x)
(* (csc x) (cos x))	(cot x)
(* (tan x) (* (csc x) (cos x)))	1
(* (+ (tan x) (cot x)) (* (sin x) (cos x)))	1
(+ (* (tan x) (sin x)) (cos x))	(sec x)
(+ (* (cot x) (cos x)) (sin x))	(csc x)
(* (- (sec x) (tan x)) (+ 1 (sin x)))	(cos x)
(* (+ (csc x) (cot x)) (- 1 (cos x)))	(sin x)
(/ (sec x) (+ (tan x) (cot x)))	(sin x)
(/ (+ 1 (pow (tan x) 2)) (pow (csc x) 2))	(pow (tan x) 2)
(* (cot x) (* (sec x) (sin x)))	1
(* (- (cos x) (sin x)) (+ (cos x) (sin x)))	(cos (* 2 x))
(+ (/ 1 (+ 1 (sin x))) (/ 1 (- 1 (sin x))))	(* 2 (pow (sec x) 2))
(+ (/ 1 (+ (sec x) (tan x))) (/ 1 (- (sec x) (tan x))))	(* 2 (sec x))
(+ (/ (sin x) (csc x)) (/ (cos x) (sec x)))	1
(- (/ (csc x) (sin x)) (/ (cot x) (tan x)))	1
(- (pow (sec x) 4) (pow (tan x) 4))	(+ 1 (* 2 (pow (tan x) 2)))
(* (- 1 (pow (sin x) 2)) (+ 1 (pow (tan x) 2)))	1
(* (cos x) (+ (tan x) (cot x)))	(csc x)
(* (sin x) (+ (tan x) (cot x)))	(sec x)
(/ (tan x) (sec x))	(sin x)
(/ (cot x) (csc x))	(cos x)
(- (* (sec x) (csc x)) (cot x))	(tan x)
(/ (pow (sec x) 2) (tan x))	(+ (tan x) (cot x))
(/ (pow (csc x) 2) (cot x))	(+ (tan x) (cot x))
(/ (+ (sin x) (cos x)) (sin x))	(+ 1 (cot x))
(/ (+ (sin x) (cos x)) (cos x))	(+ 1 (tan x))
(/ (+ 1 (tan x)) (+ 1 (cot x)))	(tan x)
(/ (+ (tan a) (tan b)) (- 1 (* (tan a) (tan b))))	(tan (+ a b))
(+ (sin (+ a b)) (sin (- a b)))	(* 2 (* (sin a) (cos b)))
(+ (cos (+ a b)) (cos (- a b)))	(* 2 (* (cos a) (cos b)))
(- (cos (- a b)) (cos (+ a b)))	(* 2 (* (sin a) (sin b)))
(- (sin (+ a b)) (sin (- a b)))	(* 2 (* (cos a) (sin b)))
(* (pow (csc x) 2) (- 1 (pow (cos x) 2)))	1
(/ (* (+ (sec x) 1) (- (sec x) 1)) (pow (tan x) 2))	1
(* (sin A) (* (cot A) (sec A)))	1
(- (pow (sec t) 2) (pow (tan t) 2))	1
(- (pow (csc t) 2) (pow (cot t) 2))	1
(/ (- (pow (sec x) 2) 1) (pow (sec x) 2))	(pow (sin x) 2)
(+ (* (cos x) (cos x)) (* (sin x) (sin x)))	1
(/ (sin (* 2 t)) (* 2 (cos t)))	(sin t)
(* (+ (* (sin a) (cos b)) (* (cos a) (sin b))) (- (* (sin a) (cos b)) (* (cos a) (sin b))))	(- (pow (sin a) 2) (pow (sin b) 2))
